name,row,ciclo_red,entidad_universitaria,30ar_pm,30ar_tsu,30ar_lic,30ar_esp,30ar_mtr,30ar_doc,30ar_bg,30ar_bt,30ar_posbasico,30ar_basico,30ar_otros
30AR-1 PE del AG matrícula-nivel en 1994-1995,1,1994-1995,AG,24,1,81,3,38,10,1,7,0,0,0
30AR-2 PE del AG matrícula-nivel en 1995-1996,2,1995-1996,AG,,,,,,,,,,,
30AR-3 PE del AG matrícula-nivel en 1996-1997,3,1996-1997,AG,13,0,81,38,67,26,1,7,7,0,0
30AR-4 PE del AG matrícula-nivel en 1997-1998,4,1997-1998,AG,14,1,83,78,74,23,1,7,0,0,0
30AR-5 PE del AG matrícula-nivel en 1998-1999,5,1998-1999,AG,17,2,86,73,87,27,1,7,0,0,0
30AR-6 PE del AG matrícula-nivel en 1999-2000,6,1999-2000,AG,17,7,91,58,90,23,1,7,5,0,0
30AR-7 PE del AG matrícula-nivel en 2000-2001,7,2000-2001,AG,17,22,132,54,103,29,1,8,6,0,0
30AR-8 PE del AG matrícula-nivel en 2001-2002,8,2001-2002,AG,16,29,124,27,93,23,1,7,8,1,0
30AR-9 PE del AG matrícula-nivel en 2002-2003,9,2002-2003,AG,21,21,109,50,87,24,1,7,0,0,0
30AR-10 PE del AG matrícula-nivel en 2003-2004,10,2003-2004,AG,16,19,137,55,89,25,1,7,0,0,0
30AR-11 PE del AG matrícula-nivel en 2004-2005,11,2004-2005,AG,16,20,132,54,85,20,2,7,0,0,0
30AR-12 PE del AG matrícula-nivel en 2005-2006,12,2005-2006,AG,21,21,127,54,83,21,2,8,0,0,0
30AR-13 PE del AG matrícula-nivel en 2006-2007,13,2006-2007,AG,18,20,133,54,66,21,2,8,0,0,0
30AR-14 PE del AG matrícula-nivel en 2007-2008,14,2007-2008,AG,18,18,149,51,58,18,3,8,0,0,0
30AR-15 PE del AG matrícula-nivel en 2008-2009,15,2008-2009,AG,17,15,155,53,64,25,4,8,0,0,0
30AR-16 PE del AG matrícula-nivel en 2009-2010,16,2009-2010,AG,18,11,156,54,69,24,3,8,0,0,0
30AR-17 PE del AG matrícula-nivel en 2010-2011,17,2010-2011,AG,14,11,161,56,87,27,3,8,0,0,0
30AR-18 PE del AG matrícula-nivel en 2011-2012,18,2011-2012,AG,14,8,162,54,81,28,3,8,0,0,0
30AR-19 PE del AG matrícula-nivel en 2012-2013,19,2012-2013,AG,15,8,175,57,75,34,3,8,0,0,0
30AR-20 PE del AG matrícula-nivel en 2013-2014,20,2013-2014,AG,15,8,179,53,91,37,3,11,0,0,0
30AR-21 PE del AG matrícula-nivel en 2014-2015,21,2014-2015,AG,15,8,182,59,90,40,3,11,0,0,0
30AR-22 PE del AG matrícula-nivel en 2015-2016,22,2015-2016,AG,16,6,191,64,103,43,3,12,0,0,0
30AR-23 PE del AG matrícula-nivel en 2016-2017,23,2016-2017,AG,15,6,198,66,103,42,3,12,0,0,0
30AR-24 PE del AG matrícula-nivel en 2017-2018,24,2017-2018,AG,13,6,203,68,105,43,3,12,0,0,0
30AR-25 PE del AG matrícula-nivel en 2018-2019,25,2018-2019,AG,17,6,212,68,117,46,3,14,0,0,0
30AR-26 PE del AG matrícula-nivel en 2019-2020,26,2019-2020,AG,17,6,219,72,127,50,3,14,0,0,0
30AR-27 PE del AG matrícula-nivel en 2020-2021,27,2020-2021,AG,17,6,229,73,132,53,3,14,0,0,0
30AR-28 PE del AG matrícula-nivel en 2021-2022,28,2021-2022,AG,17,6,238,63,129,53,3,14,0,0,0
30AR-29 PE del AG matrícula-nivel en 2022-2023,29,2022-2023,AG,17,6,241,76,133,55,3,14,0,0,0
30AR-30 PE del AG matrícula-nivel en 2023-2024,30,2023-2024,AG,17,8,249,73,148,60,3,14,0,0,0
