name,row,ciclo_red,30ar_centro_u,30ar_escuela,30ar_extension,30ar_modulo,30ar_suv,30ar_total_planteles,30ar_sedes
30AR Planteles -1-1995-1996,1,1995-1996,11,,,,,11,
30AR Planteles -2-1996-1997,2,1996-1997,11,45,,,,56,5
30AR Planteles -3-1997-1998,3,1997-1998,11,92,,3,,106,6
30AR Planteles -4-1998-1999,4,1998-1999,11,48,,40,,99,6
30AR Planteles -5-1999-2000,5,1999-2000,11,79,,5,,95,6
30AR Planteles -6-2000-2001,6,2000-2001,13,36,,,,49,6
30AR Planteles -7-2001-2002,7,2001-2002,13,1,,,,14,6
30AR Planteles -8-2002-2003,8,2002-2003,13,44,,,,57,5
30AR Planteles -9-2003-2004,9,2003-2004,14,44,,66,,124,3
30AR Planteles -10-2004-2005,10,2004-2005,14,45,0,65,0,124,6
30AR Planteles -11-2005-2006,11,2005-2006,14,46,,65,1,126,6
30AR Planteles -12-2006-2007,12,2006-2007,14,49,,65,1,129,6
30AR Planteles -13-2007-2008,13,2007-2008,14,48,19,66,1,148,6
30AR Planteles -14-2008-2009,14,2008-2009,14,51,23,69,1,158,6
30AR Planteles -15-2009-2010,15,2009-2010,14,53,20,66,1,154,6
30AR Planteles -16-2010-2011,16,2010-2011,14,52,29,69,1,165,6
30AR Planteles -17-2011-2012,17,2011-2012,14,52,28,70,1,165,7
30AR Planteles -18-2012-2013,18,2012-2013,15,53,29,71,1,169,7
30AR Planteles -19-2013-2014,19,2013-2014,15,55,29,74,1,174,7
30AR Planteles -20-2014-2015,20,2014-2015,15,55,29,74,1,174,7
30AR Planteles -21-2015-2016,21,2015-2016,15,66,13,88,1,183,7
30AR Planteles -22-2016-2017,22,2016-2017,15,66,11,88,1,181,9
30AR Planteles -23-2017-2018,23,2017-2018,15,67,10,90,1,183,9
30AR Planteles -24-2018-2019,24,2018-2019,15,71,7,96,1,190,9
30AR Planteles -25-2019-2020,25,2019-2020,15,71,7,96,1,190,9
30AR Planteles -26-2020-2021,26,2020-2021,16,71,7,96,1,191,9
30AR Planteles -27-2021-2022,27,2021-2022,16,71,7,97,1,192,8
30AR Planteles -28-2022-2023,28,2022-2023,18,71,,104,1,194,7
30AR Planteles -29-2023-2024,29,2023-2024,19,74,,101,1,195,7
