name,row,anio,convenios_tipo,ambito_geografico,total,
513 Convenios con asociaciones y redes-1 - 2023 - Asociación - Nacional,1,2023,Asociación,Nacional,16,
513 Convenios con asociaciones y redes-2 - 2023 - Asociación - Internacional,2,2023,Asociación,Internacional,21,
513 Convenios con asociaciones y redes-3 - 2023 - Red de colaboración - Nacional,3,2023,Red de colaboración,Nacional,16,
513 Convenios con asociaciones y redes-4 - 2023 - Red de colaboración - Internacional,4,2023,Red de colaboración,Internacional,39,
513 Convenios con asociaciones y redes-5 - 2022 - Asociación - Nacional,5,2022,Asociación,Nacional,17,
513 Convenios con asociaciones y redes-6 - 2022 - Asociación - Internacional,6,2022,Asociación,Internacional,19,
513 Convenios con asociaciones y redes-7 - 2022 - Red de colaboración - Nacional,7,2022,Red de colaboración,Nacional,16,
513 Convenios con asociaciones y redes-8 - 2022 - Red de colaboración - Internacional,8,2022,Red de colaboración,Internacional,40,
513 Convenios con asociaciones y redes-9 - 2021 - Asociación - Nacionales,9,2021,Asociación,Nacionales,16,
513 Convenios con asociaciones y redes-10 - 2021 - Asociación - Internacional,10,2021,Asociación,Internacional,21,
513 Convenios con asociaciones y redes-11 - 2021 - Red de colaboración - Nacionales,11,2021,Red de colaboración,Nacionales,16,
513 Convenios con asociaciones y redes-12 - 2021 - Red de colaboración - Internacional,12,2021,Red de colaboración,Internacional,39,
513 Convenios con asociaciones y redes-13 - 2020 - Asociación - Nacionales,13,2020,Asociación,Nacionales,5,
513 Convenios con asociaciones y redes-14 - 2020 - Asociación - Internacional,14,2020,Asociación,Internacional,18,
513 Convenios con asociaciones y redes-15 - 2020 - Red de colaboración - Nacionales,15,2020,Red de colaboración,Nacionales,5,
513 Convenios con asociaciones y redes-16 - 2020 - Red de colaboración - Internacional,16,2020,Red de colaboración,Internacional,19,
513 Convenios con asociaciones y redes-17 - 2019 - Asociación - Nacionales,17,2019,Asociación,Nacionales,6,
513 Convenios con asociaciones y redes-18 - 2019 - Asociación - Internacional,18,2019,Asociación,Internacional,24,
513 Convenios con asociaciones y redes-19 - 2019 - Red de colaboración - Nacionales,19,2019,Red de colaboración,Nacionales,9,
513 Convenios con asociaciones y redes-20 - 2019 - Red de colaboración - Internacional,20,2019,Red de colaboración,Internacional,78,
513 Convenios con asociaciones y redes-21 - 2018 - Asociación - Nacionales,21,2018,Asociación,Nacionales,6,
513 Convenios con asociaciones y redes-22 - 2018 - Asociación - Internacional,22,2018,Asociación,Internacional,24,
513 Convenios con asociaciones y redes-23 - 2018 - Red de colaboración - Nacionales,23,2018,Red de colaboración,Nacionales,9,
513 Convenios con asociaciones y redes-24 - 2018 - Red de colaboración - Internacional,24,2018,Red de colaboración,Internacional,78,
