name,row,anio,entidad_universitaria,docentes_tc_h,docentes_tc_m,docentes_tc_nb,docentes_tc_t,docentes_mt_h,docentes_mt_m,docentes_mt_nb,docentes_mt_t,investigadores_tc_h,investigadores_tc_m,investigadores_tc_nb,investigadores_tc_t,investigadores_mt_h,investigadores_mt_m,investigadores_mt_nb,investigadores_mt_t,tecnicos_tc_h,tecnicos_tc_m,tecnicos_tc_nb,tecnicos_tc_t,tecnicos_mt_h,tecnicos_mt_m,tecnicos_mt_nb,tecnicos_mt_t,prof_asig_h,prof_asig_m,prof_asig_nb,prof_asig_t,academicos_h,academicos_m,academicos_nb,academicos_t
711-2024-1 PA de CUCEA,1,2024,CUCEA,82,40,,122,5,7,,12,152,103,,255,1,0,,1,6,11,,17,0,0,,0,346,241,,587,592,402,,994
711-2024-2 PA de CUCEI,2,2024,CUCEI,56,32,,88,5,3,,8,264,131,,395,0,0,,0,43,48,,91,2,4,,6,331,169,,500,701,387,,1088
711-2024-3 PA de CUCSH,3,2024,CUCSH,91,77,,168,12,2,,14,188,181,,369,1,0,,1,10,21,,31,0,0,,0,225,140,,365,527,421,,948
711-2024-4 PA de CUCS,4,2024,CUCS,90,64,,154,12,4,,16,153,184,,337,0,1,,1,57,63,,120,14,15,,29,614,481,,1095,940,812,,1752
711-2024-5 PA de CUAAD,5,2024,CUAAD,37,24,,61,7,3,,10,60,57,,117,0,0,,0,16,3,,19,2,1,,3,249,150,,399,371,238,,609
711-2024-6 PA de CUCBA,6,2024,CUCBA,44,25,,69,0,0,,0,119,88,,207,1,0,,1,21,27,,48,4,0,,4,91,64,,155,280,204,,484
711-2024-7 PA de CUALTOS,7,2024,CUALTOS,30,20,,50,2,0,,2,39,32,,71,0,0,,0,20,27,,47,0,0,,0,150,93,,243,241,172,,413
711-2024-8 PA de CUCIÉNEGA,8,2024,CUCIÉNEGA,21,17,,38,9,5,,14,70,58,,128,0,0,,0,13,19,,32,0,1,,1,159,124,,283,272,224,,496
711-2024-9 PA de CUSUR,9,2024,CUSUR,29,9,,38,0,0,,0,42,49,,91,0,0,,0,11,8,,19,0,0,,0,199,166,,365,281,232,,513
711-2024-10 PA de CUCOSTA,10,2024,CUCOSTA,16,8,,24,5,2,,7,58,48,,106,0,0,,0,8,7,,15,0,0,,0,195,164,,359,282,229,,511
711-2024-11 PA de CUCOSTASUR,11,2024,CUCOSTASUR,18,9,,27,6,3,,9,82,47,,129,0,0,,0,13,11,,24,0,0,,0,115,85,,200,234,155,,389
711-2024-12 PA de CUVALLES,12,2024,CUVALLES,18,22,,40,0,0,,0,61,41,,102,0,0,,0,4,7,,11,0,0,,0,86,96,,182,169,166,,335
711-2024-13 PA de CUNORTE,13,2024,CUNORTE,17,7,,24,0,0,,0,32,25,,57,0,0,,0,4,6,,10,0,0,,0,114,163,,277,167,201,,368
711-2024-14 PA de CULAGOS,14,2024,CULAGOS,13,7,,20,1,2,,3,46,29,,75,0,0,,0,8,15,,23,1,0,,1,74,52,,126,143,105,,248
711-2024-15 PA de CUTONALÁ,15,2024,CUTONALÁ,36,36,,72,1,0,,1,64,52,,116,0,0,,0,11,12,,23,1,1,,2,203,145,,348,316,246,,562
711-2024-16 PA de CUTLAJOMULCO,16,2024,CUTLAJOMULCO,13,11,,24,0,0,,0,11,7,,18,0,0,,0,0,0,,0,0,0,,0,67,59,,126,91,77,,168
711-2024-17 PA de CUGUADALAJARA,17,2024,CUGUADALAJARA,11,16,,27,0,1,,1,23,49,,72,0,0,,0,0,0,,0,0,0,,0,110,192,,302,144,258,,402
711-2024-18 PA de CUCHAPALA,18,2024,CUCHAPALA,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0
711-2024-19 PA de CUTLAQUEPAQUE,19,2024,CUTLAQUEPAQUE,2,1,,3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,1,,3
711-2024-20 PA de SEMS,20,2024,SEMS,514,468,,982,139,99,,238,3,2,,5,0,0,,0,291,283,,574,209,213,,422,2451,2396,,4847,3607,3461,,7068
711-2024-21 PA de AG,21,2024,AG,0,0,,0,0,0,,0,0,0,,0,0,0,,0,9,17,,26,2,2,,4,0,0,,0,11,19,,30
