name,row,anio,subsidio_publico,pesos_corrientes,por_total,
b13 Subsidio público ordinario de la UdeG -1 - 2023 - Federal,1,2023,Federal,7089792069,50.90,
b13 Subsidio público ordinario de la UdeG -2 - 2022 - Federal,2,2022,Federal,6603790527,50.35,
b13 Subsidio público ordinario de la UdeG -3 - 2021 - Federal,3,2021,Federal,6364916968,50.36,
b13 Subsidio público ordinario de la UdeG -4 - 2020 - Federal,4,2020,Federal,6175219175,50.74,
b13 Subsidio público ordinario de la UdeG -5 - 2019 - Federal,5,2019,Federal,5981190829,51.24,
b13 Subsidio público ordinario de la UdeG -6 - 2018 - Federal,6,2018,Federal,5706322304,51.62,
b13 Subsidio público ordinario de la UdeG -7 - 2023 - Estatal,7,2023,Estatal,6838061373,49.10,
b13 Subsidio público ordinario de la UdeG -8 - 2022 - Estatal,8,2022,Estatal,6511848168,49.65,
b13 Subsidio público ordinario de la UdeG -9 - 2021 - Estatal,9,2021,Estatal,6274023900,49.64,
b13 Subsidio público ordinario de la UdeG -10 - 2020 - Estatal,10,2020,Estatal,5994265727,49.26,
b13 Subsidio público ordinario de la UdeG -11 - 2019 - Estatal,11,2019,Estatal,5691856151,48.76,
b13 Subsidio público ordinario de la UdeG -12 - 2018 - Estatal,12,2018,Estatal,5347331316,48.38,
